id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_produksi,satuan,tahun
195,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,5554,TON,2020
196,32,JAWA BARAT,3207,KABUPATEN CIAMIS,177,TON,2020
197,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,19263,TON,2020
198,32,JAWA BARAT,3209,KABUPATEN CIREBON,421,TON,2020
199,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1748,TON,2020
200,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,9219,TON,2020
201,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,TON,2020
202,32,JAWA BARAT,3213,KABUPATEN SUBANG,14243,TON,2020
203,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,50,TON,2020
204,32,JAWA BARAT,3215,KABUPATEN KARAWANG,20,TON,2020
205,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,TON,2020
206,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,97762,TON,2020
207,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,TON,2020
208,32,JAWA BARAT,3271,KOTA BOGOR,2811,TON,2020
209,32,JAWA BARAT,3272,KOTA SUKABUMI,232,TON,2020
210,32,JAWA BARAT,3273,KOTA BANDUNG,1596,TON,2020
211,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2020
212,32,JAWA BARAT,3275,KOTA BEKASI,172,TON,2020
213,32,JAWA BARAT,3276,KOTA DEPOK,1260,TON,2020
214,32,JAWA BARAT,3277,KOTA CIMAHI,1374,TON,2020
215,32,JAWA BARAT,3278,KOTA TASIKMALAYA,513,TON,2020
216,32,JAWA BARAT,3279,KOTA BANJAR,0,TON,2020
217,32,JAWA BARAT,3201,KABUPATEN BOGOR,23742,TON,2021
218,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,7535,TON,2021
219,32,JAWA BARAT,3203,KABUPATEN CIANJUR,5783,TON,2021
220,32,JAWA BARAT,3204,KABUPATEN BANDUNG,68884,TON,2021
221,32,JAWA BARAT,3205,KABUPATEN GARUT,27935,TON,2021
222,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,5527,TON,2021
223,32,JAWA BARAT,3207,KABUPATEN CIAMIS,157,TON,2021
224,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,19781,TON,2021
225,32,JAWA BARAT,3209,KABUPATEN CIREBON,324,TON,2021
226,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1788,TON,2021
227,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,10773,TON,2021
228,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,TON,2021
229,32,JAWA BARAT,3213,KABUPATEN SUBANG,14497,TON,2021
230,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,50,TON,2021
231,32,JAWA BARAT,3215,KABUPATEN KARAWANG,20,TON,2021
232,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,TON,2021
233,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,97088,TON,2021
234,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,5,TON,2021
235,32,JAWA BARAT,3271,KOTA BOGOR,2828,TON,2021
236,32,JAWA BARAT,3272,KOTA SUKABUMI,232,TON,2021
237,32,JAWA BARAT,3273,KOTA BANDUNG,80,TON,2021
238,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2021
239,32,JAWA BARAT,3275,KOTA BEKASI,167,TON,2021
240,32,JAWA BARAT,3276,KOTA DEPOK,1344,TON,2021
241,32,JAWA BARAT,3277,KOTA CIMAHI,1389,TON,2021
242,32,JAWA BARAT,3278,KOTA TASIKMALAYA,545,TON,2021
243,32,JAWA BARAT,3279,KOTA BANJAR,0,TON,2021
